topology_model,node_count,controller_budget,algorithm,baseline_algorithm,trials_algorithm,trials_baseline,latency_gain_vs_baseline_mean,latency_gain_ci95_low,latency_gain_ci95_high,runtime_penalty_vs_baseline_mean,runtime_penalty_ci95_low,runtime_penalty_ci95_high,latency_cliffs_delta_alg_vs_baseline,latency_cliffs_magnitude,runtime_cliffs_delta_alg_vs_baseline,runtime_cliffs_magnitude
barabasi_albert,20,3,bandit_rl,random,5,5,1.143744733946395,0.4173331920437151,2.0522967491575903,314.8471799970139,305.2896394925483,323.0251800006954,-1.0,large,1.0,large
barabasi_albert,20,3,genetic,random,5,5,1.460686160041015,0.7454465736744602,2.371402770348446,65.7794799975818,62.08025399369944,68.68269999686163,-1.0,large,1.0,large
barabasi_albert,20,3,greedy_k_center,random,5,5,1.0839430463168256,0.36870345995027076,1.9946596566242567,0.061499999719671905,0.05536000237043481,0.06770049178157933,-1.0,large,1.0,large
barabasi_albert,20,3,kmeans,random,5,5,0.07400367083795878,-0.641235915528596,0.9847202811453899,16.768900002352893,15.057973503062385,18.490761999200913,0.2,small,1.0,large
barabasi_albert,20,5,bandit_rl,random,5,5,1.4954155255341544,1.0803750567963584,1.8087761653992283,322.55825999600347,313.9139789953333,332.2542605012859,-1.0,large,1.0,large
barabasi_albert,20,5,genetic,random,5,5,1.7176762686096363,1.3136397573885146,2.0212121361200257,94.77986000129022,87.16722000099253,104.47145999940403,-1.0,large,1.0,large
barabasi_albert,20,5,greedy_k_center,random,5,5,0.47205177170870183,0.06805809924119188,0.7706022945089215,0.15157999587245286,0.14647999487351626,0.15648099819372874,-0.6,large,1.0,large
barabasi_albert,20,5,kmeans,random,5,5,0.3952922697799046,0.009547815695251316,0.7070575039503351,18.367979995673522,17.242198494495824,19.26983999728691,-0.6,large,1.0,large
barabasi_albert,50,3,bandit_rl,random,5,5,1.82401142144613,1.2835882992366887,2.4513816133492323,2093.6017999978503,2066.9091899967316,2120.0705399998697,-1.0,large,1.0,large
barabasi_albert,50,3,genetic,random,5,5,2.0552459194600248,1.5148227972505834,2.682616111363127,153.46532000403386,145.24552000511903,161.87752700403507,-1.0,large,1.0,large
barabasi_albert,50,3,greedy_k_center,random,5,5,1.5914307219339232,1.0510075997244819,2.2188009138370255,0.19221999973524362,0.1831600032892311,0.2002804971562,-1.0,large,1.0,large
barabasi_albert,50,3,kmeans,random,5,5,0.6702104699296374,0.12978734772019607,1.2928452749857318,18.349699999089353,17.831859999569133,19.126972503654542,-0.68,large,1.0,large
barabasi_albert,50,5,bandit_rl,random,5,5,1.708069334553322,1.046032393545557,2.1696795806802625,2157.7508799993666,2130.8040790040104,2182.9865304910345,-1.0,large,1.0,large
barabasi_albert,50,5,genetic,random,5,5,2.199303004177817,1.5204565237062058,2.6611262310625383,220.9270600025775,211.99228350509657,228.82956300105434,-1.0,large,1.0,large
barabasi_albert,50,5,greedy_k_center,random,5,5,1.3876134245513985,0.7255764835436337,1.849223670678339,0.3942400013329461,0.37625800403475296,0.4124999977648258,-1.0,large,1.0,large
barabasi_albert,50,5,kmeans,random,5,5,0.13327845537203853,-0.5690508651525984,0.6372452050055797,19.321680002030917,18.287371999103925,20.342261505429633,-0.44,medium,1.0,large
barabasi_albert,100,3,bandit_rl,random,5,5,1.8581657029511218,1.2742885094072955,2.489138680806355,9114.438099990366,9011.95011449221,9249.629881984365,-1.0,large,1.0,large
barabasi_albert,100,3,genetic,random,5,5,2.05406054995513,1.47807326367667,2.6850779662219146,315.9888599999249,280.97744699123723,372.2223625022889,-1.0,large,1.0,large
barabasi_albert,100,3,greedy_k_center,random,5,5,1.7561780723806795,1.1802981128927463,2.3871510502359126,0.4448399937245995,0.4333789966040058,0.45605999475810677,-1.0,large,1.0,large
barabasi_albert,100,3,kmeans,random,5,5,-0.7649256310535897,-1.4222393015904808,-0.0918212362150221,18.240099999820814,17.94991949631367,18.48290249465208,0.52,large,1.0,large
barabasi_albert,100,5,bandit_rl,random,5,5,2.0611125448182115,1.4300593439656186,2.824628611295319,9309.37076000555,9141.227393508889,9477.51477300124,-1.0,large,1.0,large
barabasi_albert,100,5,genetic,random,5,5,2.650039490338262,2.0269780362410277,3.4246213564392693,400.778720001108,395.6845195009373,405.87143249860674,-1.0,large,1.0,large
barabasi_albert,100,5,greedy_k_center,random,5,5,1.6869316588553431,1.0558784580027503,2.4504477253324506,0.8531800034688786,0.8019555034843506,0.9051100029319059,-1.0,large,1.0,large
barabasi_albert,100,5,kmeans,random,5,5,0.6775849539716567,-0.013213297696811566,1.527082095487728,21.84338000661228,20.627612010066514,22.995604008247028,-0.36,medium,1.0,large
waxman,20,3,bandit_rl,random,5,5,1.079409888376477,0.370302430273041,1.8246776599637793,145.03564000769984,141.80919700964296,148.61622700744192,-1.0,large,1.0,large
waxman,20,3,genetic,random,5,5,1.162937207729951,0.4491165283217269,1.8767578871381758,92.64022000133991,73.637312496503,113.7248579996957,-1.0,large,1.0,large
waxman,20,3,greedy_k_center,random,5,5,0.03694027404370104,-0.676880405364523,0.750760953451926,0.05444000125862658,0.049780000699684024,0.05840049663675018,0.2,small,1.0,large
