episode,reward,best_reward,epsilon,selected_action_q,selected_action_visits,selected_action
1,-3.3657591439251893,-3.3657591439251893,0.199,-3.3657591439251893,1,"[""s0-n0"", ""s0-n8"", ""s3-n7""]"
25,-3.5217920690502265,-2.271151607306879,0.17644404858976023,-3.5217920690502265,1,"[""s0-n1"", ""s0-n10"", ""s3-n4""]"
50,-2.5037932846815973,-2.0649398891732935,0.15566251141372844,-2.5037932846815973,2,"[""s0-n5"", ""s1-n2"", ""s3-n1""]"
75,-2.501682475632951,-2.0649398891732935,0.13732861863744006,-2.501682475632951,2,"[""s1-n9"", ""s2-n0"", ""s3-n0""]"
100,-2.0649398891732935,-2.0649398891732935,0.12115408729814564,-2.0649398891732935,25,"[""s0-n2"", ""s1-n4"", ""s3-n1""]"
125,-2.0649398891732935,-2.0649398891732935,0.10688458833041031,-2.0649398891732935,49,"[""s0-n2"", ""s1-n4"", ""s3-n1""]"
150,-2.0649398891732935,-2.0649398891732935,0.09429574748433718,-2.0649398891732935,71,"[""s0-n2"", ""s1-n4"", ""s3-n1""]"
175,-2.0649398891732935,-2.0649398891732935,0.0831896172546708,-2.0649398891732935,96,"[""s0-n2"", ""s1-n4"", ""s3-n1""]"
200,-2.0649398891732935,-2.0649398891732935,0.07339156434523345,-2.0649398891732935,119,"[""s0-n2"", ""s1-n4"", ""s3-n1""]"
225,-3.466909629286469,-2.0649398891732935,0.06474752372704441,-3.466909629286469,2,"[""s1-n10"", ""s1-n5"", ""s2-n6""]"
250,-2.0649398891732935,-2.0649398891732935,0.057121576112806376,-2.0649398891732935,167,"[""s0-n2"", ""s1-n4"", ""s3-n1""]"
275,-2.0649398891732935,-2.0649398891732935,0.0503938107558585,-2.0649398891732935,191,"[""s0-n2"", ""s1-n4"", ""s3-n1""]"
300,-2.0649398891732935,-2.0649398891732935,0.04445843996814939,-2.0649398891732935,214,"[""s0-n2"", ""s1-n4"", ""s3-n1""]"
